Id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
7363,72,Private,158092,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,30,United-States
12696,41,Private,144460,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,Italy
22900,38,Private,97759,12th,8,Never-married,Other-service,Unmarried,White,Female,0,0,17,United-States
32661,70,Private,178120,HS-grad,9,Widowed,Priv-house-serv,Other-relative,Black,Female,0,0,8,United-States
35707,32,State-gov,203849,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,19,United-States
36978,25,Local-gov,125863,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States
38519,56,Federal-gov,155238,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
2511,33,Private,267859,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,El-Salvador
39949,31,Private,164461,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,73,United-States
41531,67,Private,192995,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States
32663,33,Private,261639,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,4064,0,40,United-States
26503,36,Private,41017,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,52,United-States
23224,26,State-gov,53903,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,50,United-States
10411,43,Federal-gov,72887,Bachelors,13,Married-spouse-absent,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States
36362,22,Private,238534,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,20,Puerto-Rico
38062,25,Private,109112,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States
41524,61,Private,163393,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States
1178,50,Local-gov,237356,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,7298,0,40,United-States
28790,23,Local-gov,197918,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States
39302,24,Private,124242,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
11441,55,Private,109015,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,1876,40,United-States
24293,41,Self-emp-inc,56019,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,50,India
14847,35,Private,252897,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,14344,0,40,United-States
19170,28,Private,290429,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States
47618,45,Private,123219,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
40492,25,Private,203871,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,40,United-States
45640,19,Private,193859,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,2176,0,35,Germany
9596,21,Private,132053,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1721,35,United-States
33811,17,Private,219199,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,15,United-States
10459,32,Federal-gov,504951,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States
16480,28,Self-emp-not-inc,180928,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
43725,27,Private,208725,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,42,United-States
40830,33,Self-emp-not-inc,131568,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,66,United-States
42933,43,Private,144778,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
12820,36,Private,428251,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States
12055,56,Private,186556,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
30007,32,Private,185177,Assoc-voc,11,Separated,Tech-support,Own-child,White,Male,0,1590,40,United-States
48628,28,Private,175537,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,0,0,37,United-States
15072,33,State-gov,220066,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,48,United-States
16433,35,Private,126675,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States
48366,48,Federal-gov,215389,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States
37945,36,Private,160035,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States
35361,39,Private,34028,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,48,United-States
4347,47,Private,173938,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
30921,44,Private,133986,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
35679,35,Private,108140,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
6852,24,Private,236427,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
39182,31,Private,373185,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,42,Mexico
14671,29,Self-emp-not-inc,144063,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,United-States
47074,62,Private,134779,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,United-States
31651,44,Private,326232,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States
22021,29,Private,79586,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,65,United-States
29344,20,Self-emp-not-inc,186014,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,Germany
27954,53,Private,106176,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7298,0,60,United-States
46627,38,Private,146091,Doctorate,16,Married-civ-spouse,Exec-managerial,Wife,White,Female,99999,0,36,United-States
2310,37,Local-gov,52465,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States
16481,18,Private,275848,12th,8,Never-married,Sales,Other-relative,White,Female,0,0,16,United-States
33652,35,Self-emp-not-inc,42044,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
30603,25,Private,52536,Assoc-acdm,12,Divorced,Tech-support,Own-child,White,Female,0,1594,25,United-States
44591,54,Private,172962,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
19895,24,Private,131230,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
19843,41,Private,115562,HS-grad,9,Divorced,Protective-serv,Own-child,White,Male,0,0,40,United-States
15094,43,Private,196545,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1902,40,United-States
37700,27,Private,181659,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
34391,46,Private,146919,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,40,United-States
17259,30,Private,213722,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States
40698,38,Private,179481,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
29422,24,Private,274398,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,20,United-States
2561,55,Private,141807,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
30737,20,Self-emp-inc,465725,HS-grad,9,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States
6263,45,Private,408773,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
19658,38,Private,80771,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
12619,24,Private,114939,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
19330,48,Private,139290,10th,6,Separated,Machine-op-inspct,Own-child,White,Female,0,0,48,United-States
19042,35,Private,275364,Bachelors,13,Divorced,Tech-support,Unmarried,White,Male,7430,0,40,Germany
32823,33,Private,58305,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
39272,59,State-gov,139616,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
31899,45,Private,132847,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States
3646,32,Private,220690,11th,7,Divorced,Other-service,Not-in-family,White,Male,0,0,33,United-States
14704,54,Federal-gov,28683,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,4386,0,41,United-States
1438,20,Private,275421,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
36703,37,Private,197429,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States
15867,48,State-gov,148306,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
24152,59,Private,75541,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
48072,49,Private,186982,Some-college,10,Separated,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States
2117,55,State-gov,120781,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India
10433,57,Local-gov,258641,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
32144,42,State-gov,355756,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,40,United-States
20679,42,Private,252058,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
14289,47,Self-emp-inc,248145,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,Cuba
13799,43,Federal-gov,197069,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Philippines
20850,23,Private,260617,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
16777,31,Self-emp-inc,344275,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,44,United-States
24962,45,Private,202560,Assoc-acdm,12,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
29132,39,Private,219155,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States
35529,45,Private,172822,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,52,United-States
22692,52,Private,128871,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,64,United-States
18165,37,Local-gov,170861,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States
37134,31,Private,288419,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
41916,24,Private,59146,HS-grad,9,Separated,Sales,Unmarried,White,Female,0,0,48,United-States
2169,23,Private,60668,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,55,United-States
12364,51,Local-gov,195844,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
37926,30,Local-gov,101345,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,26,United-States
20151,53,Private,233780,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,2202,0,40,United-States
27151,23,Private,240063,Bachelors,13,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,25,United-States
26752,37,Private,132879,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
43946,37,Private,105803,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
16430,29,Private,107812,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,15,United-States
40928,51,Private,279452,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,Mexico
12443,50,Private,104280,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
18230,55,Private,354923,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
23102,24,Private,125031,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States
3739,33,Local-gov,242150,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States
749,60,Private,145995,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
30530,46,Self-emp-not-inc,277946,Assoc-acdm,12,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
19677,46,Federal-gov,340718,11th,7,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
13444,43,Private,149670,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,4064,0,15,United-States
23136,48,Private,349986,Assoc-voc,11,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
43034,27,Private,706026,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
46410,56,Private,320833,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
34344,50,Local-gov,311551,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States
47807,26,Private,195216,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,12,United-States
15705,26,Private,158846,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States
34187,34,Private,269723,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,2977,0,50,United-States
29044,35,Private,100375,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,1887,45,United-States
47862,47,Private,169092,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States
47343,46,Private,368561,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States
47122,50,Self-emp-inc,447144,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
10004,43,Private,170525,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,14344,0,40,United-States
10025,23,Local-gov,258120,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
40865,56,Private,147202,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,Germany
42095,39,Private,195253,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
11032,43,State-gov,261929,Doctorate,16,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,25236,0,64,United-States
14586,43,Private,253759,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,45,United-States
38501,43,Private,116379,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,China
25209,26,Private,339324,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,96,United-States
28695,32,Private,30497,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
24,48,Private,41411,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
42582,56,Local-gov,294623,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
10857,61,Private,29059,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States
47061,29,Self-emp-inc,87745,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States
6799,51,Private,193374,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico
44699,36,Private,201117,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
39263,65,Private,129426,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
10028,20,Private,256504,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,6,United-States
30766,51,Private,161482,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,38,United-States
20038,54,Private,185407,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States
22429,29,Private,31659,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,2202,0,45,United-States
25865,28,Local-gov,216965,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
39582,34,Private,35644,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
23164,20,Private,234880,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States
28958,53,Private,283743,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2002,40,United-States
27460,52,Private,159755,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States
3025,21,Private,372636,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States
18811,36,State-gov,210830,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States
25657,46,Local-gov,192323,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,38,United-States
36194,47,Self-emp-not-inc,276087,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States
42683,28,Private,421967,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States
8753,64,Self-emp-not-inc,253759,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,United-States
9160,59,Private,167963,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States
27051,53,Private,48343,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,40,United-States
34537,26,Private,114483,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
23940,38,Private,119098,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,42,United-States
33966,45,Private,190482,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,76,United-States
4070,46,Private,265275,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
4674,33,Private,168030,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,32,United-States
7709,47,Self-emp-not-inc,180446,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States
36688,19,Private,358631,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,25,United-States
35932,26,Private,168403,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
37225,29,Private,288229,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,4386,0,45,United-States
16649,48,Private,193047,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
39391,32,Private,272944,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
46490,47,State-gov,306473,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
40098,46,Private,188161,HS-grad,9,Separated,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States
45091,21,Self-emp-not-inc,190968,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,25,United-States
28973,39,Private,51100,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
31264,17,Private,209650,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States
22359,52,Private,94391,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
3469,64,Private,631947,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
31459,24,Self-emp-inc,165474,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States
6167,19,Private,389143,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States
28348,49,Local-gov,98738,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
5751,35,Private,64922,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States
11842,24,Private,179203,12th,8,Never-married,Sales,Other-relative,White,Male,0,0,55,United-States
4999,24,Local-gov,111450,10th,6,Never-married,Craft-repair,Unmarried,Black,Male,0,0,65,Haiti
14634,25,Private,176162,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
19853,46,Private,59767,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States
41263,32,Private,425622,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States
4968,61,Federal-gov,197311,Masters,14,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
32088,39,Private,122493,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States
3388,17,Private,147497,5th-6th,3,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
13398,37,Private,200863,Some-college,10,Widowed,Craft-repair,Unmarried,White,Male,0,0,40,United-States
7045,62,Private,176839,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,United-States
43165,23,Private,203078,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Male,0,0,24,United-States
14405,33,Private,382764,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
23670,47,State-gov,190325,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,0,0,48,United-States
39187,23,Private,132220,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
19729,40,Private,145504,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States
14488,46,State-gov,192779,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States
48481,41,Private,177989,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2051,60,United-States
3984,44,Private,179136,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States
5106,52,Private,155496,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States
4434,26,Private,135848,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,10,Guatemala
48458,42,Private,198341,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1902,55,India
8659,22,Private,211013,HS-grad,9,Separated,Adm-clerical,Other-relative,White,Female,0,0,40,United-States
18410,24,Private,23438,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States
22345,44,Private,32000,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,18,United-States
24008,44,Local-gov,231793,Doctorate,16,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,38,United-States
22720,40,Private,176716,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
18258,22,Private,70160,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
29868,32,Private,78283,12th,8,Never-married,Transport-moving,Unmarried,Asian-Pac-Islander,Male,0,0,40,United-States
11963,38,Private,172918,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
37250,28,Private,398918,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States
39626,38,Private,193815,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
37316,74,Private,175945,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,28,United-States
17562,37,Private,112497,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
3937,42,Self-emp-not-inc,352196,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,22,United-States
23822,35,Private,187089,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,42,United-States
9243,61,Private,80896,HS-grad,9,Separated,Transport-moving,Unmarried,Asian-Pac-Islander,Male,0,0,45,United-States
20707,28,Private,405793,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States
21685,38,Private,103751,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
7813,47,State-gov,103743,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
10307,68,Local-gov,202699,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,6418,0,35,United-States
39633,37,Private,294292,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
21062,41,Self-emp-not-inc,100800,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,70,United-States
7144,37,Local-gov,347491,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
1339,38,Self-emp-not-inc,140117,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States
9560,45,Self-emp-not-inc,87490,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States
28829,25,Private,104097,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,60,United-States
30559,39,Self-emp-not-inc,65716,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
